Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «грузоперевозки новосибирск», по неделям
12.05.2025;1 141;0;000045
19.05.2025;1 119;0;000045
26.05.2025;1 237;0;000045
02.06.2025;1 137;0;000045
09.06.2025;1 056;0;000045
16.06.2025;1 091;0;000045
23.06.2025;1 053;0;000045
30.06.2025;963;0;000045
07.07.2025;1 107;0;000045
14.07.2025;1 024;0;000045
21.07.2025;986;0;000045
28.07.2025;1 042;0;000045
04.08.2025;1 061;0;000045
11.08.2025;1 126;0;000045
18.08.2025;1 097;0;000045
25.08.2025;1 067;0;000045
01.09.2025;1 077;0;000045
08.09.2025;1 015;0;000045
15.09.2025;966;0;000045
22.09.2025;1 105;0;000045
29.09.2025;914;0;000045
06.10.2025;784;0;000045
13.10.2025;1 071;0;000045
20.10.2025;796;0;000045
27.10.2025;910;0;000045
03.11.2025;920;0;000045
10.11.2025;970;0;000045
17.11.2025;965;0;000045
24.11.2025;895;0;000045
01.12.2025;830;0;000045
