week_id,week_start,week_end,spend_rub,leads_count
2025-W20,2025-05-12,2025-05-18,487.9,2
2025-W21,2025-05-19,2025-05-25,1117.3,1
2025-W22,2025-05-26,2025-06-01,676.2,3
2025-W23,2025-06-02,2025-06-08,1130.8,4
2025-W24,2025-06-09,2025-06-15,685.4,8
2025-W25,2025-06-16,2025-06-22,1233.1,3
2025-W26,2025-06-23,2025-06-29,508.7,4
2025-W27,2025-06-30,2025-07-06,1067.2,4
2025-W28,2025-07-07,2025-07-13,1035.9,6
2025-W29,2025-07-14,2025-07-20,1269.3,2
2025-W30,2025-07-21,2025-07-27,856.7,3
2025-W31,2025-07-28,2025-08-03,488.0,4
2025-W32,2025-08-04,2025-08-10,542.1,3
2025-W33,2025-08-11,2025-08-17,1208.9,8
2025-W34,2025-08-18,2025-08-24,541.8,5
2025-W35,2025-08-25,2025-08-31,732.4,1
2025-W36,2025-09-01,2025-09-07,352.7,0
2025-W37,2025-09-08,2025-09-14,583.4,2
2025-W38,2025-09-15,2025-09-21,688.7,7
2025-W39,2025-09-22,2025-09-28,1397.8,4
2025-W40,2025-09-29,2025-10-05,2642.0,9
2025-W41,2025-10-06,2025-10-12,1630.4,3
2025-W42,2025-10-13,2025-10-19,268.3,8
2025-W43,2025-10-20,2025-10-26,408.0,5
2025-W44,2025-10-27,2025-11-02,723.8,5
2025-W45,2025-11-03,2025-11-09,393.6,3
2025-W46,2025-11-10,2025-11-16,146.8,7
2025-W47,2025-11-17,2025-11-23,505.5,4
2025-W48,2025-11-24,2025-11-30,769.0,2
2025-W49,2025-12-01,2025-12-07,350.9,1
