Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «грузоперевозки новосибирск», по неделям, 12.05.2025 — 07.12.2025, все регионы, все устройства
12.05.2025;1 048;0,000045;
19.05.2025;1 043;0,000045;
26.05.2025;1 049;0,000045;
02.06.2025;857;0,000045;
09.06.2025;796;0,000045;
16.06.2025;883;0,000045;
23.06.2025;881;0,000045;
30.06.2025;867;0,000045;
07.07.2025;941;0,000045;
14.07.2025;926;0,000045;
21.07.2025;1 021;0,000045;
28.07.2025;905;0,000045;
04.08.2025;900;0,000045;
11.08.2025;876;0,000045;
18.08.2025;860;0,000045;
25.08.2025;849;0,000045;
01.09.2025;1 137;0,000045;
08.09.2025;1 196;0,000045;
15.09.2025;1 225;0,000045;
22.09.2025;1 204;0,000045;
29.09.2025;1 146;0,000045;
06.10.2025;1 301;0,000045;
13.10.2025;1 289;0,000045;
20.10.2025;1 223;0,000045;
27.10.2025;1 186;0,000045;
03.11.2025;1 352;0,000045;
10.11.2025;1 324;0,000045;
17.11.2025;1 195;0,000045;
24.11.2025;1 304;0,000045;
01.12.2025;1 050;0,000045;
