week_id,week_start,week_end,spend_rub,leads_count
2025-W20,2025-05-12,2025-05-18,2040.6,0.0
2025-W21,2025-05-19,2025-05-25,1888.0,0.0
2025-W22,2025-05-26,2025-06-01,1491.8,0.0
2025-W23,2025-06-02,2025-06-08,1405.4,1.0
2025-W24,2025-06-09,2025-06-15,2784.5,3.0
2025-W25,2025-06-16,2025-06-22,2361.7,4.0
2025-W26,2025-06-23,2025-06-29,773.3,1.0
2025-W27,2025-06-30,2025-07-06,3231.1,4.0
2025-W28,2025-07-07,2025-07-13,843.7,2.0
2025-W29,2025-07-14,2025-07-20,1234.2,2.0
2025-W30,2025-07-21,2025-07-27,1308.3,1.0
2025-W31,2025-07-28,2025-08-03,403.6,0.0
2025-W32,2025-08-04,2025-08-10,3015.4,2.0
2025-W33,2025-08-11,2025-08-17,794.2,1.0
2025-W34,2025-08-18,2025-08-24,377.2,0.0
2025-W35,2025-08-25,2025-08-31,1202.6,0.0
2025-W36,2025-09-01,2025-09-07,471.7,0.0
2025-W37,2025-09-08,2025-09-14,814.0,0.0
2025-W38,2025-09-15,2025-09-21,1603.1,0.0
2025-W39,2025-09-22,2025-09-28,1803.3,0.0
2025-W40,2025-09-29,2025-10-05,1074.0,1.0
2025-W41,2025-10-06,2025-10-12,1125.5,0.0
2025-W42,2025-10-13,2025-10-19,438.5,0.0
2025-W43,2025-10-20,2025-10-26,713.7,1.0
2025-W44,2025-10-27,2025-11-02,1041.2,1.0
2025-W45,2025-11-03,2025-11-09,769.5,0.0
2025-W46,2025-11-10,2025-11-16,174.3,1.0
2025-W47,2025-11-17,2025-11-23,1444.4,0.0
2025-W48,2025-11-24,2025-11-30,3080.2,3.0
2025-W49,2025-12-01,2025-12-07,1970.3,2.0
