Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «грузоперевозки новосибирск», по неделям, 12.05.2025 — 30.11.2025, все регионы, все устройства
12.05.2025;1 231;0,000047;
19.05.2025;1 020;0,000042;
26.05.2025;1 094;0,000046;
02.06.2025;1 029;0,000044;
09.06.2025;1 051;0,000044;
16.06.2025;1 194;0,000047;
23.06.2025;1 105;0,000044;
30.06.2025;1 129;0,000046;
07.07.2025;1 180;0,000049;
14.07.2025;1 191;0,000050;
21.07.2025;1 173;0,000049;
28.07.2025;1 032;0,000043;
04.08.2025;1 097;0,000045;
11.08.2025;1 134;0,000047;
18.08.2025;1 192;0,000050;
25.08.2025;1 137;0,000048;
01.09.2025;1 279;0,000052;
08.09.2025;1 097;0,000043;
15.09.2025;940;0,000036;
22.09.2025;1 176;0,000040;
29.09.2025;1 042;0,000038;
06.10.2025;1 130;0,000043;
13.10.2025;1 033;0,000037;
20.10.2025;880;0,000032;
27.10.2025;1 054;0,000040;
03.11.2025;851;0,000032;
10.11.2025;826;0,000030;
17.11.2025;997;0,000035;
24.11.2025;911;0,000032;
