week_id,week_start,week_end,spend_rub,leads_count
2025-W20,2025-05-12,2025-05-18,1453.0,4.0
2025-W21,2025-05-19,2025-05-25,4395.0,19.0
2025-W22,2025-05-26,2025-06-01,1803.0,17.0
2025-W23,2025-06-02,2025-06-08,960.0,5.0
2025-W24,2025-06-09,2025-06-15,2400.0,0.0
2025-W25,2025-06-16,2025-06-22,8400.0,13.0
2025-W26,2025-06-23,2025-06-29,4080.0,11.0
2025-W27,2025-06-30,2025-07-06,1440.0,9.0
2025-W28,2025-07-07,2025-07-13,2880.0,7.0
2025-W29,2025-07-14,2025-07-20,863.0,9.0
2025-W30,2025-07-21,2025-07-27,0.0,4.0
2025-W31,2025-07-28,2025-08-03,0.0,9.0
2025-W32,2025-08-04,2025-08-10,9881.0,14.0
2025-W33,2025-08-11,2025-08-17,4320.0,6.0
2025-W34,2025-08-18,2025-08-24,13840.0,6.0
2025-W35,2025-08-25,2025-08-31,1800.0,6.0
2025-W36,2025-09-01,2025-09-07,2500.0,12.0
2025-W37,2025-09-08,2025-09-14,4240.0,12.0
2025-W38,2025-09-15,2025-09-21,4621.0,7.0
2025-W39,2025-09-22,2025-09-28,4125.0,12.0
2025-W40,2025-09-29,2025-10-05,4697.0,5.0
2025-W41,2025-10-06,2025-10-12,4907.0,9.0
2025-W42,2025-10-13,2025-10-19,3715.0,12.0
2025-W43,2025-10-20,2025-10-26,2439.0,6.0
2025-W44,2025-10-27,2025-11-02,2609.0,9.0
2025-W45,2025-11-03,2025-11-09,2293.0,4.0
2025-W46,2025-11-10,2025-11-16,2509.0,0.0
2025-W47,2025-11-17,2025-11-23,3196.0,7.0
2025-W48,2025-11-24,2025-11-30,1877.0,1.0
